matricule;date;quantite;fournisseur;typePaiement;note;station
2529;19/06/2023 11:20;23.76;0;1407008328;0;100
2374;19/06/2023 10:32;30.89;0;1407022474;0;22
1139;19/06/2023 15:17;352.64;0;1407023587;3;94
2550;19/06/2023 14:03;90.68;0;1407045629;3;94
2487;19/06/2023 11:48;43.56;0;1407022475;0;82
2507;19/06/2023 18:55;39.6;0;1407004592;0;98
2549;19/06/2023 17:33;63.6;0;1407024331;0;28
2537;19/06/2023 17:13;32.75;0;1407040611;3;95
230;20/06/2023 06:24;50.38;0;1407018303;3;108
929;20/06/2023 10:06;65.99;0;1407004714;3;13
2558;20/06/2023 08:40;23.76;0;1407004595;0;93
2532;20/06/2023 11:55;39.91;0;1407026665;4;89
294;20/06/2023 11:07;68.01;0;1407020803;3;16
2394;20/06/2023 16:38;125.94;0;1407020802;3;94
2834;20/06/2023 16:25;12.28;0;1407046036;0;122
1889;20/06/2023 16:26;37.19;0;1407025486;4;94
230;20/06/2023 15:26;70.03;0;1407018303;3;118
2530;20/06/2023 14:59;26.93;0;1407004596;0;81
2558;20/06/2023 14:10;15.45;0;1407004595;0;56
1234;20/06/2023 18:09;117.38;0;1407004727;3;34
218;20/06/2023 17:46;37.28;0;1407004717;3;100
2522;21/06/2023 07:54;25.74;0;1407009157;0;99
837710;21/06/2023 12:50;36.28;0;1407058655;4;73
2550;21/06/2023 11:52;124.94;0;1407045629;3;94
2537;21/06/2023 11:27;34.76;0;1407040611;3;95
2544;21/06/2023 15:34;181.36;0;1407040610;3;93
1139;21/06/2023 15:38;347.61;0;1407023587;3;94
2394;21/06/2023 18:24;100.76;0;1407020802;3;56
817397;21/06/2023 22:00;11.88;0;1407004720;0;96
2530;22/06/2023 10:01;37.62;0;1407004596;0;99
2507;22/06/2023 08:37;39.6;0;1407004592;0;89
2487;22/06/2023 07:45;27.72;0;1407022475;0;98
2532;22/06/2023 10:43;23.58;0;1407026665;4;89
2559;22/06/2023 15:58;136.02;0;1407004726;3;94
230;22/06/2023 14:40;71.54;0;1407018303;3;45
1234;22/06/2023 13:49;83.12;0;1407004727;3;5
2515;22/06/2023 13:19;181.36;0;1407004707;3;7
817356;22/06/2023 18:35;12.28;0;1407004738;0;93
2394;22/06/2023 17:19;100.76;0;1407020802;3;94
2558;22/06/2023 17:05;33.66;0;1407004595;0;99
2532;22/06/2023 16:37;19.95;0;1407026665;4;47
2504;22/06/2023 19:45;33.66;0;1407004598;0;90
